10,2025-05-24 09:53:46.949395
510,2025-05-24 09:59:46.383027
20,2025-05-24 10:00:50.920687
20,2025-05-24 10:02:32.539857
30,2025-05-24 10:03:25.245733
20,2025-05-24 10:08:45.063468
20,2025-05-24 10:09:13.555160
20,2025-05-24 10:13:35.489186
20,2025-05-24 10:13:55.308810
710,2025-05-24 10:22:34.707135
0,2025-05-24 10:24:10.662421
120,2025-05-24 10:26:26.116085
50,2025-05-24 10:27:16.404285
10,2025-05-24 10:27:40.008527
0,2025-05-24 10:27:59.650099
50,2025-05-24 10:37:11.937228
810,2025-05-24 10:46:01.811107
